file,nomSociete,evaluation,capitalDetenu,nombreParts,remuneration
02d11078-811c-4e87-b7a2-5187824300b5-20171221.xml,EssilorLuxottica,4823,,30,0
02d11078-811c-4e87-b7a2-5187824300b5-20171221.xml,GTT,8768,,125,0
02d11078-811c-4e87-b7a2-5187824300b5-20171221.xml,L'Oréal,17651,,45,0
02d11078-811c-4e87-b7a2-5187824300b5-20171221.xml,Neoen,4490,,125,0
02d11078-811c-4e87-b7a2-5187824300b5-20171221.xml,Pharmagest,4700,,50,0
02d11078-811c-4e87-b7a2-5187824300b5-20171221.xml,Sanofi,10575,,120,0
02d11078-811c-4e87-b7a2-5187824300b5-20171221.xml,Schneider Electric,11355,,75,0
02d11078-811c-4e87-b7a2-5187824300b5-20171221.xml,Voltalia,3540,,150,0
02d11078-811c-4e87-b7a2-5187824300b5-20171221.xml,Lvmh,19798,,32,0
02ef1e36-55e4-4beb-8749-d6929a12d957-20171221.xml,SCM ALBS,1650,27,50,0
02ef1e36-55e4-4beb-8749-d6929a12d957-20171221.xml,SCI         [Données non publiées],5100,34,510,0
031024fe-c994-48ca-b9ed-2cbe2d94fc52-20171221.xml,SCI          [Données non publiées],0,0,0,0
03173ff9-1ac9-428f-bc2c-a3cc6749d409-20171221.xml,Aéroport de Paris,838,0,8,0
03173ff9-1ac9-428f-bc2c-a3cc6749d409-20171221.xml,AXA,1558,0,72,155
03173ff9-1ac9-428f-bc2c-a3cc6749d409-20171221.xml,BNP Paribas,4802,0,96,107
03173ff9-1ac9-428f-bc2c-a3cc6749d409-20171221.xml,Engie,201,0,18,9.54
03173ff9-1ac9-428f-bc2c-a3cc6749d409-20171221.xml,SAFRAN,7615,0,66,28
03173ff9-1ac9-428f-bc2c-a3cc6749d409-20171221.xml,SANOFI,1478,0,17,54
03173ff9-1ac9-428f-bc2c-a3cc6749d409-20171221.xml,Total Energies,4812,0,135,357
03173ff9-1ac9-428f-bc2c-a3cc6749d409-20171221.xml,AXA,108,0,5,0
03173ff9-1ac9-428f-bc2c-a3cc6749d409-20171221.xml,FDJ,1070,0,22,29
03173ff9-1ac9-428f-bc2c-a3cc6749d409-20171221.xml,Orange,285,0,30,0
032da254-ee42-4f4b-92b5-db9789f344c0-20171221.xml,SA HLM Patrimoine Languedocienne,16,,1,0 euros
032da254-ee42-4f4b-92b5-db9789f344c0-20171221.xml,SA HLM Les Chalets,191,,5,0 euros
03474039-7609-4a32-952c-247ee6ac24a4-20171221.xml,SCIC La Maison pour Tous,0,,1,0
0352e93c-61e6-4558-82fa-9ff1220b81f4-20171221.xml,SCI          [Données non publiées],591000,74,74,0
036e2255-5bb2-4c64-9ea2-d43a592583b5-20171221.xml,SCI          [Données non publiées],9969,20,1000,Aucune rémunération n'a été perçue par les associés de la société.
036e2255-5bb2-4c64-9ea2-d43a592583b5-20171221.xml,SCI          [Données non publiées],8043,50,500,Aucune rémunération n'a été perçue par les associés de la société.
036e2255-5bb2-4c64-9ea2-d43a592583b5-20171221.xml,SCI          [Données non publiées],100,50,100,Aucune rémunération n'a été perçue par les associés de la société.
036e2255-5bb2-4c64-9ea2-d43a592583b5-20171221.xml,SAS FAB-INVEST,27660,20,138300,Aucune rémunération n'a été perçue par les associés de la société.
03bde2f5-76ac-4765-b305-3d1b2cd6df02-20171221.xml,sci          [Données non publiées],500,50,50,0
03e7f9e3-9ae1-4413-932e-3404b1c68109-20171221.xml,[Données non publiées],200000,,24824,0€ ces actions n'ont pas été liquides
040b9d60-5284-4d60-b989-9f8e3bfa4fbb-20171221.xml,SCI          [Données non publiées],40000,10,5,1470
040b9d60-5284-4d60-b989-9f8e3bfa4fbb-20171221.xml,SCI         [Données non publiées],0,50,38,0
043002b7-3299-48cb-bae8-9022bdfa9970-20171221.xml,BONESTREL SAS,250000,3,242,0
043002b7-3299-48cb-bae8-9022bdfa9970-20171221.xml,OPEN SARL,85000,100,200,0
043002b7-3299-48cb-bae8-9022bdfa9970-20171221.xml,PLAN MAINLPEA,94145,0,7,0
043002b7-3299-48cb-bae8-9022bdfa9970-20171221.xml,DEXIA,6400,0,29400,0
043002b7-3299-48cb-bae8-9022bdfa9970-20171221.xml,PIERRE VACANCES,24000,0,1500,0
043002b7-3299-48cb-bae8-9022bdfa9970-20171221.xml,CARREFOUR,17953,0,1300,0
043002b7-3299-48cb-bae8-9022bdfa9970-20171221.xml,NATIXIS,37950,0,15000,0
043002b7-3299-48cb-bae8-9022bdfa9970-20171221.xml,VEOLIA ENVIRON,3096,0,160,0
043002b7-3299-48cb-bae8-9022bdfa9970-20171221.xml,SOCIETE GENERALE,15704,0,1000,0
043002b7-3299-48cb-bae8-9022bdfa9970-20171221.xml,ORANGE,22010,0,2000,0
043002b7-3299-48cb-bae8-9022bdfa9970-20171221.xml,A PLUSMIX CAP11A,2308,0,200,0
0449a7e9-0de9-4705-8149-5191335067b3-20171221.xml,SCI          [Données non publiées],0,0,0,NEANT
0449a7e9-0de9-4705-8149-5191335067b3-20171221.xml,SCI          [Données non publiées],0,50,500,0
0449a7e9-0de9-4705-8149-5191335067b3-20171221.xml,SCI          [Données non publiées],0,40,400,0
044a0ef0-b6a2-4e60-a430-1d97264a01d4-20171221.xml,sarl          [Données non publiées],99092,99,6495,7389
045714f1-ecd3-4b20-b5b6-26166e83841f-20171221.xml,SCI          [Données non publiées],21400,49,490,0
045714f1-ecd3-4b20-b5b6-26166e83841f-20171221.xml,SELARL 2 L,55000,49,490,VOIR PARAGRAPHE 1
045714f1-ecd3-4b20-b5b6-26166e83841f-20171221.xml,SCI          [Données non publiées],1000,50,500,0
045f60d9-f00e-46ca-8337-2fc104d1134d-20171221.xml,sci         [Données non publiées],8967,3,30,0
045f60d9-f00e-46ca-8337-2fc104d1134d-20171221.xml,[Données non publiées]              [Données non publiées]     sci,1741105,99,990,0
045f60d9-f00e-46ca-8337-2fc104d1134d-20171221.xml,crédit agricole,49884,,0,0
045f60d9-f00e-46ca-8337-2fc104d1134d-20171221.xml,crédit agricole,10939,,0,0
