nom,declaration_count,total_wealth
BÉNISTI,5,0.0
Rousseau,5,31271.0
MOUNIER,5,133400.0
Foveau,5,13745.0
BARSEGHIAN,5,0.0
Martinez,5,0.0
PLENET,5,0.0
Robert,5,103128.0
Matet,5,5706.0
Gastinne,5,781588.0
LOZACH,5,0.0
POLLET,5,0.0
RISSER,5,0.0
Bourel de La Roncière,5,854034.0
MOREL,5,486687.0
LAGOURGUE,5,549743.0
LAGEDAMONT,5,0.0
Amiel,5,0.0
Marchau,5,0.0
LEGENDRE,5,1534500.0
ROULLE,5,2080000.0
WOLBER,5,0.0
LECLERC,5,202406.0
GODIN,5,390513.0
LECA,5,0.0
LEBRETON,5,0.0
CHITO,5,0.0
CHABAUD,5,26190.0
CHAMBON,5,0.0
ALEMAGNA,5,0.0
LIBERT-ALBANEL,5,0.0
vernin,5,852666.0
ROUSSET,5,924098.0
PASTOR,5,400.0
LE DISSES,5,0.0
CLODONG,5,35567.0
Vidal,5,0.0
PICHERY,5,8000.0
PICARD,5,0.0
Vial,5,0.0
PEYLACHON,5,0.0
ANDRE,5,0.0
robin,5,0.0
WANSCHOOR,5,0.0
BAGUET,5,0.0
chapuis,5,101506.0
cornillet,5,560550.0
PORTELLI,5,0.0
Mercier,5,497426.0
Bouche,5,2226.0
milon,5,0.0
LAGARDE,5,605219.0
Bonnet,5,6600.0
BALAND,5,0.0
ROBERT,5,892.0
Chriqui,5,0.0
ROUSSEL,5,0.0
Thoraval,5,1000000.0
cefis,5,62500.0
Guiraud,5,0.0
barsacq,4,0.0
NARDIN,4,0.0
Cuillandre,4,500300.0
IMBS,4,0.0
Bouty,4,44400.0
beauchamps,4,5940000.0
PFEFFER,4,30.0
M'DOIHOMA,4,0.0
LUTZ,4,0.0
gagnoux,4,96.0
COCHET,4,0.0
Cristiani,4,106400.0
CASIMIRIUS,4,0.0
Bertin,4,840.0
VON EUW,4,0.0
DI CARO,4,0.0
CARROZ,4,0.0
Luya,4,0.0
CORDIER,4,120073.0
Juven,4,0.0
L'Hour,4,2000.0
DARDELET,4,312400.0
CORBIERE,4,0.0
dissaux,4,0.0
BRANCOUR,4,62500.0
LEVADE,4,96937.0
COQUELIN,4,0.0
NICOLIN,4,52252.0
condomitti,4,224265.0
Boux,4,0.0
TANGUY,4,932.0
apparu,4,0.0
DORGUEILLE,4,0.0
CAROLO LUTROT,4,0.0
bedreddine,4,0.0
Le Foll,4,0.0
Hoareau,4,0.0
Hingrez-Céréda,4,0.0
Werner,4,52000.0
Darmanin,4,0.0
KERNEIS,4,792000.0
LECOCQ,4,35494.0
WILLIAM,4,2200.0
Weil,4,0.0
WILLER,4,0.0
Dambach,4,930750.0
CHARROUX,4,0.0
ISIDORE,4,0.0
CHARRIER,4,1334.0
CHAUVET,4,641000.0
CHAUVELOT-DUBAN,4,0.0
OLIVE,4,356545.0
Thévenot,4,0.0
