nom,people_count,male,female,min_age,max_age,avg_age
SEGURA,5,5,0,58.0,60.0,59.4
de Carolis,5,5,0,66.0,67.0,66.8
Bernard,5,3,2,41.0,65.0,52.6
Blanchard,5,5,0,29.0,57.0,35.4
Crémont,5,5,0,67.0,68.0,67.6
Leclerc,5,5,0,50.0,57.0,54.2
FERRARI,5,4,1,51.0,54.0,52.6
MILLET,5,1,4,50.0,62.0,56.2
BOST,5,1,4,34.0,51.0,46.0
MILLION,5,0,5,52.0,55.0,53.2
TERLEZ,5,0,5,46.0,49.0,47.2
Schneider,5,2,3,34.0,63.0,53.6
TEMARII,5,2,3,32.0,62.0,44.2
DEZARNAUD,5,0,5,56.0,61.0,58.4
RAMOS,5,2,3,52.0,56.0,53.8
Isnard,5,5,0,49.0,51.0,50.2
JALTON,5,5,0,59.0,61.0,59.4
DOMEN,5,5,0,44.0,47.0,45.2
haddad,5,5,0,33.0,39.0,37.8
EGRON,5,5,0,60.0,62.0,60.8
FONTAINE,5,2,3,45.0,53.0,50.0
BILLON,5,2,3,53.0,64.0,57.6
BILLOT,5,2,3,44.0,62.0,54.2
TEISSERE,5,5,0,63.0,66.0,64.8
TABAROT,5,3,2,54.0,62.0,57.0
Sturni,5,5,0,57.0,61.0,59.2
Pons,5,2,3,46.0,62.0,55.2
Saint-Martin,5,5,0,39.0,46.0,41.6
BONNEAU,5,5,0,62.0,68.0,64.6
DUCHÉ,5,5,0,52.0,54.0,53.2
HUGUET,5,5,0,37.0,57.0,52.8
STRAMBIO,5,5,0,62.0,64.0,62.6
BOURGI,5,5,0,47.0,49.0,47.6
BOUILLON,5,1,4,51.0,76.0,69.4
Naria,5,5,0,43.0,45.0,44.2
DEBORD,5,0,5,49.0,52.0,50.0
Jamet,5,1,4,44.0,64.0,55.6
FAIVRE,5,0,5,40.0,58.0,51.0
Bazin,5,5,0,35.0,65.0,54.6
Grosperrin,5,3,2,61.0,66.0,63.8
FERRERE,5,5,0,56.0,58.0,57.0
FERRER,5,0,5,51.0,57.0,53.8
NOEL,5,1,4,42.0,66.0,54.2
Delacroix,5,4,1,38.0,65.0,44.8
RAVIER,5,4,1,41.0,53.0,44.0
BONNET-VALLET,5,0,5,50.0,53.0,51.0
JOUVET,5,5,0,33.0,38.0,35.8
