uuid,nomSociete,evaluation,capitalDetenu,nombreParts,commentaire,remuneration,clean_name
ba54dddd-44cd-4aa8-8dbf-e0dcb99dee0e,AIR LIQUIDE,2279,,14.0,PAIEMENT DES INTERETS PAR DE NOUVELLES ACTIONS,3 ACTIONS : 1 en 2022 1 en 2023 1 en 2024,AIR LIQUIDE
ba54dddd-44cd-4aa8-8dbf-e0dcb99dee0e,ALSTOM,17,,1.0,Achat d'action via un compte-titre (boursorama) valeur au 12 Août 2024,0,ALSTOM
ba54dddd-44cd-4aa8-8dbf-e0dcb99dee0e,AXA,64,,2.0,Achat d'action via un compte-titre (boursorama) valeur au 12 Août 2024,0,AXA
ba54dddd-44cd-4aa8-8dbf-e0dcb99dee0e,BNP PARIBAS,297,,5.0,Achat d'action via un compte-titre (boursorama) valeur au 12 Août 2024,0,BNP PARIBAS
ba54dddd-44cd-4aa8-8dbf-e0dcb99dee0e,BOUYGUES,62,,2.0,Achat d'action via un compte-titre (boursorama) valeur au 12 Août 2024,0,BOUYGUES
ba54dddd-44cd-4aa8-8dbf-e0dcb99dee0e,CARREFOUR,27,,2.0,Achat d'action via un compte-titre (boursorama) valeur au 12 Août 2024,0,CARREFOUR
ba54dddd-44cd-4aa8-8dbf-e0dcb99dee0e,CREDIT AGRICOLE,65,,5.0,Achat d'action via un compte-titre (boursorama) valeur au 12 Août 2024,0,CREDIT AGRICOLE
ba54dddd-44cd-4aa8-8dbf-e0dcb99dee0e,RENAULT,44,,1.0,Achat d'action via un compte-titre (boursorama),0,RENAULT
38a39531-7f57-465e-b0a4-0a800b359211,AXA,1175,,67.0,,34€ (dividende 2020),AXA
c5337570-6f58-43f3-996d-422bb6570d00,credit agricole,853,,66.0,,31.89,CREDIT AGRICOLE
c5337570-6f58-43f3-996d-422bb6570d00,SANOFI,4391,,49.0,,"105,31",SANOFI
c5337570-6f58-43f3-996d-422bb6570d00,ORANGE,498,,38.0,,26.5,ORANGE
c5337570-6f58-43f3-996d-422bb6570d00,ENGIE,576,,40.0,,20,ENGIE
c5337570-6f58-43f3-996d-422bb6570d00,AIRBUS,5480,,42.0,,"58,9",AIRBUS
5558a571-5c87-42a7-a041-fd62334517c4,Crédit Agricole,1173,,782.0,,"11,15",CREDIT AGRICOLE
3f574919-936f-489c-90e3-444b15101824,CREDIT AGRICOLE,978,60,652.0,,978,CREDIT AGRICOLE
63008a23-4449-4fdb-8609-cc20028bb6e6,Air liquide,6354,0,45.0,Valeur détenue dans le cadre d'un PEA en mandat de gestion. dividende au 12/05/2020,"121,50",AIR LIQUIDE
