uuid,nomSociete,evaluation,capitalDetenu,nombreParts,commentaire,remuneration
9ea6d89a-9985-4791-853f-f47252d3376a,Vivendi,2158,,90,actions détenues depuis plus de 10 ans dans le cadre d'un PEA,détention d'actions
9ea6d89a-9985-4791-853f-f47252d3376a,veolia environnement,3152,0,165,actions détenues en direct dans 1 PEA depuis plus de 10 ans,détention d'actions
b6e76990-01b3-4a5c-8d69-b7b1f6cd1bd4,Saint-Gobain,837,0,23,Détention de 23 actions sur 1 465 067,Revenu net 0 euros depuis le 01/01/2020
b6e76990-01b3-4a5c-8d69-b7b1f6cd1bd4,Provence International Holding,0,5,5,"
        [Données non publiées]
    ",Rémunération 0 euros
f23e5d96-3e53-414b-bfa1-5d904b5cf298,EARL [Données non publiées],161100,100,1611,EXPLOITATION AGRICOLE,0
59868916-1dd1-4323-85e3-e8d3d7bfb0fb,THALES,3423,,50,,0
a2893249-f253-4cb4-bb9d-f7fcec066d31,Crédit Agricole SA,3190,,270,,151 en 2021
a2893249-f253-4cb4-bb9d-f7fcec066d31,EDF,1658,0,144,,21 en 2021
92fbba6c-402d-42ce-8329-0b4f8f47cfdb,SCI [Données non publiées],990,100,99,Monsieur Lisnard est nue propriétaire de 99 parts.,0
278f0906-4aaa-4219-83b5-8bbd12dcefaf,SCI [Données non publiées],135000,50,50,,0
278f0906-4aaa-4219-83b5-8bbd12dcefaf,Frenesius Médical Care,1125,,29,,0
278f0906-4aaa-4219-83b5-8bbd12dcefaf,Korian SE,214,,31,,0
278f0906-4aaa-4219-83b5-8bbd12dcefaf,Orpéa,29,,20,,0
9d7d37c2-92ce-441d-9610-ae9e5df50ccf,SARL ECOFI Patrimoine Gestion,100000,,50,,Dividendes 14 800 € en 2020
9d7d37c2-92ce-441d-9610-ae9e5df50ccf,SCI [Données non publiées],109442,,30,,Revenus fonciers 8 836 € en 2020
9d7d37c2-92ce-441d-9610-ae9e5df50ccf,SCPI Immorente Sofidy,99482,,328,,Revenus fonciers 2 226 € en 2020
fb509896-00f0-4965-b2bb-6a59acaa8304,[Données non publiées],1000,50,5,,0
d0e6cddc-255d-4601-b3a2-c27e5dcf1b9e,EARL [Données non publiées],4350,49,290,"
        [Données non publiées]
    ",12 212 €
c4878a6d-8a08-4024-b4a7-de5f5829ea6a,STRATEGIS CONSULTANTS,506635,63,318,,0
c4878a6d-8a08-4024-b4a7-de5f5829ea6a,SCI [Données non publiées],-22584,70,7,,0
c4878a6d-8a08-4024-b4a7-de5f5829ea6a,SARL RELAIS DES PITONS,1117,33,5,,0
c4878a6d-8a08-4024-b4a7-de5f5829ea6a,SCI [Données non publiées],23253,33,40,,0
ccc5c707-403b-478c-b29c-fe7eac830d48,SARL EID,500,50,50,,0
ccc5c707-403b-478c-b29c-fe7eac830d48,MARINA LAND,3810,50,250,,0
3182ad16-30f4-4d4f-9d53-37053160e173,credit agricole,1006,,66,,25.16
cba270ce-e318-42ae-9cdb-13380e200938,SCI [Données non publiées],60000,,100,,6277
9a5d4d9f-9ebb-42d4-b593-ca0c6f42721c,SASU [Données non publiées],8000,100,8000,,0
801e1158-dd6d-4ffe-9239-6592d7785a58,SCI [Données non publiées],24000,5,24,,30€
801e1158-dd6d-4ffe-9239-6592d7785a58,GFA [Données non publiées],4000,2,4000,,232€
801e1158-dd6d-4ffe-9239-6592d7785a58,SIG plc,3250,,5926,"Valorisation basée sur un prix de l'action à 0,47 GBP. Dividendes perçus en 2019",148 £
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Credit agricole parts sociales,153,,10,,1
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Adocia,4229,,143,,0
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Air liquide,11733,,304,,902
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Arcelor,2718,,144,,0
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Arkema,8602,,92,,230
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Atos,7627,,102,,170
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Auplata,41,,226,,0
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Axa,5853,,300,,402
6c809881-23c9-4f2c-b8e1-ccd6feb382df,BNP Paribas,9267,,215,,340
6c809881-23c9-4f2c-b8e1-ccd6feb382df,BOUYGUES,11777,,350,,595
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Carmat,4245,,150,,0
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Carrefour,1585,,113,,48
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Casino Guichard,2947,,117,,182
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Credit Agricole SA,30733,,2980,,690
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Danone,12257,,228,,478
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Dassault Systèmes,12461,,75,,52
6c809881-23c9-4f2c-b8e1-ccd6feb382df,DBV Technos,95,,22,,0
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Engie,14172,,1132,,817
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Essilor Luxotica,10204,,80,,163
6c809881-23c9-4f2c-b8e1-ccd6feb382df,FDJ,4376,,117,,52
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Hermès,74766,,85,,386
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Icade,4526,,73,,292
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Kering,59440,,100,,1050
6c809881-23c9-4f2c-b8e1-ccd6feb382df,LVMH,73569,,144,,892
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Michelin,8186,,78,,288
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Neoen,3762,,60,,0
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Nokia,1061,,338,,23
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Orange,15655,,1609,,736
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Oreal,47552,,153,,647
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Orpea,3764,,35,,0
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Pharnext,726,,220,,0
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Renault,3576,,100,,355
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Safran,52757,,455,,828
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Saint Gobain,6675,,178,,236
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Sanofi,20462,,260,,798
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Schneider Electric,33597,,284,,667
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Societe generale,4306,,253,,506
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Suez,11208,,691,,382
6c809881-23c9-4f2c-b8e1-ccd6feb382df,TOTAL,83025,,2352,,5865
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Transgene,2472,,1500,,0
